Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
4,Minnesota Timberwolves,2004,10,23,3,14,2,27,27,5,2,4,4,26,26,5,25,3,8,6,26,7,2,13,10,23,9,16,4,7,9,6,10,21,3,9,10,19,15,7,12,11,1,1,27,24,7,2,28,4,4,4,13,2,5,6,21,27,27,4,2,23,24,3,26,9,10,,11
5,New Jersey Nets,2004,7,28,19,23,16,21,19,22,16,20,13,21,21,13,26,14,25,2,8,27,12,12,23,28,7,4,5,13,10,18,4,5,5,6,5,22,3,13,6,6,16,5,4,15,4,9,21,8,8,8,25,10,25,4,18,20,18,15,19,27,19,7,3,3,15,,26
6,Sacramento Kings,2004,7,19,2,6,1,2,4,1,10,22,2,6,11,2,24,12,21,1,7,26,6,2,2,19,28,29,25,8,11,10,29,29,25,3,3,14,28,20,25,14,15,14,16,10,25,5,25,5,5,5,12,3,2,21,4,14,5,1,6,26,9,23,19,23,2,,13
7,Miami Heat,2004,6,23,26,21,25,7,7,7,25,23,26,18,19,12,21,15,20,28,22,28,6,21,22,23,5,3,7,16,19,14,3,2,7,25,24,26,4,17,8,3,2,21,18,17,8,12,17,13,13,13,27,15,15,9,23,17,6,19,7,21,14,9,13,5,28,,24
8,San Antonio Spurs,2004,6,23,16,20,14,17,18,6,17,16,15,20,10,29,11,1,3,19,11,3,11,5,19,23,2,8,1,2,2,4,6,20,2,5,6,9,6,11,7,1,11,6,11,8,1,3,27,1,1,1,14,1,16,1,19,9,17,14,12,10,20,1,10,1,9,,10
9,New Orleans Hornets,2004,3,11,21,11,27,4,2,28,26,26,19,19,18,17,6,19,9,14,9,24,17,11,17,11,12,10,18,20,22,12,12,6,19,8,9,17,10,15,14,19,6,17,9,16,11,14,14,14,14,14,24,18,14,12,20,19,2,22,15,7,18,16,8,16,11,,28
10,Dallas Mavericks,2004,1,15,1,1,3,6,5,11,1,3,1,15,22,1,1,6,2,3,15,10,1,3,1,15,27,28,27,28,28,25,24,14,28,13,12,10,16,26,22,27,3,7,15,21,28,7,23,6,6,6,11,6,1,26,2,29,9,3,1,3,26,28,17,14,6,,2
11,Denver Nuggets,2004,1,26,5,3,11,25,25,21,5,2,14,3,6,9,7,24,15,9,3,5,20,20,5,26,23,20,24,6,4,21,27,28,21,14,17,1,24,12,19,26,18,27,2,3,19,11,19,11,11,11,7,11,8,13,1,11,26,17,16,8,6,20,5,26,14,,12
12,Houston Rockets,2004,1,3,25,28,13,5,6,3,27,28,12,24,25,8,28,2,13,26,27,8,28,18,25,3,4,9,2,23,14,27,2,8,1,17,18,3,5,3,2,10,26,4,28,19,5,10,20,10,10,10,8,9,24,5,25,21,4,6,29,25,17,4,24,2,19,,22
13,Milwaukee Bucks,2004,1,19,6,10,6,19,17,10,6,8,10,2,5,7,18,11,16,7,28,19,3,6,4,19,24,23,23,22,21,19,23,18,23,10,11,4,13,20,17,21,7,11,20,5,21,14,14,12,12,12,26,12,4,23,9,5,19,10,3,20,3,24,21,12,5,,14
