Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
3,Detroit Pistons,2008,10,25,18,22,13,22,22,13,16,12,16,20,22,14,10,25,21,10,17,3,1,13,17,25,2,1,3,2,4,2,2,8,3,14,14,5,6,4,3,5,3,3,18,25,1,2,29,2,2,2,29,4,6,4,30,17,22,15,2,6,13,3,13,12,19,,1
4,San Antonio Spurs,2008,9,25,25,28,14,9,10,11,28,28,13,26,27,15,27,10,23,21,24,24,4,2,27,25,4,4,5,3,3,3,9,17,5,2,2,18,1,17,6,1,9,10,27,24,3,4,26,7,7,8,7,7,15,3,28,24,8,10,8,26,24,5,20,1,4,,13
5,Cleveland Cavaliers,2008,7,5,26,15,28,14,13,16,25,16,27,21,15,28,1,12,3,25,18,7,10,16,24,5,7,5,11,8,8,10,8,10,14,17,16,7,2,13,7,9,8,14,24,19,9,13,18,16,16,16,22,16,20,11,25,15,12,26,12,2,20,10,16,2,18,,3
6,New Orleans Hornets,2008,7,14,6,8,8,6,8,3,12,15,10,29,28,11,14,16,16,13,8,28,3,1,9,14,15,16,16,16,21,6,15,11,21,1,1,27,3,18,10,12,1,4,14,28,5,4,26,5,5,6,8,5,5,7,26,28,11,6,3,13,29,17,12,3,1,,26
7,Utah Jazz,2008,6,30,4,18,2,26,26,10,1,5,2,4,2,16,13,26,24,2,3,22,19,30,5,30,5,2,17,8,8,10,5,3,19,29,30,8,5,1,1,7,17,22,4,4,13,8,23,4,4,4,17,3,1,12,10,3,27,3,20,5,4,16,3,9,30,,5
8,Orlando Magic,2008,5,18,12,26,5,1,2,4,30,30,3,9,3,27,28,5,12,22,27,27,13,13,6,18,17,24,7,11,10,13,19,24,7,12,11,15,13,15,16,10,11,7,26,2,11,9,22,6,6,5,28,9,7,6,9,2,1,2,19,27,9,6,24,6,14,,18
9,Atlanta Hawks,2008,3,5,22,21,16,27,28,18,8,6,21,5,7,7,7,21,11,12,14,4,24,11,15,5,20,22,21,10,7,16,24,21,18,10,10,12,24,5,11,20,16,24,16,9,15,19,12,19,19,19,25,20,16,18,18,7,28,21,24,4,6,15,17,26,13,,20
10,Houston Rockets,2008,2,25,17,14,21,10,7,26,21,24,14,28,25,25,9,6,1,15,15,8,9,6,22,25,3,15,2,4,2,19,7,23,1,8,9,2,10,7,8,4,19,13,23,26,4,6,24,8,8,9,11,8,17,2,21,26,7,17,11,7,27,2,21,7,9,,16
11,Philadelphia 76ers,2008,2,22,13,17,11,30,29,30,3,2,15,19,10,30,2,28,14,23,4,12,12,7,23,22,11,8,20,19,20,14,10,5,20,3,3,28,18,3,4,24,7,22,6,18,7,17,14,14,14,14,23,14,18,8,20,11,29,22,14,1,15,20,2,23,7,,23
12,Washington Wizards,2008,2,1,20,16,22,11,9,17,22,20,18,12,19,5,8,27,19,27,10,15,7,5,14,1,13,9,19,30,30,30,3,1,17,9,8,16,13,11,12,27,5,9,12,21,12,14,17,15,15,15,24,17,12,24,27,18,10,19,6,9,11,27,11,20,12,,15
13,Dallas Mavericks,2008,1,25,16,24,9,19,19,20,14,18,8,7,14,1,21,7,9,20,29,10,5,23,12,25,6,11,4,1,1,5,16,22,4,23,23,21,9,6,5,3,6,8,30,13,6,10,21,10,10,10,10,10,8,9,24,12,19,12,5,16,7,4,30,5,22,,4
14,Phoenix Suns,2008,1,18,2,9,1,4,5,1,5,23,1,13,21,4,30,4,20,1,22,2,15,8,3,18,29,30,13,5,5,7,30,30,10,7,7,8,30,12,25,6,14,2,20,15,25,6,24,9,9,7,13,6,2,16,4,22,5,1,16,29,14,8,29,29,2,,14
15,Toronto Raptors,2008,1,9,7,13,7,12,14,2,10,11,11,27,30,2,26,14,28,5,19,25,2,4,13,9,12,13,15,28,28,21,4,4,16,4,4,30,4,22,13,16,1,5,12,29,10,15,15,12,12,12,26,12,9,13,23,30,17,8,1,25,28,22,10,4,6,,9
16,Denver Nuggets,2008,0,5,3,2,6,13,11,19,4,7,7,1,1,19,15,2,5,3,1,1,21,17,2,5,28,29,14,29,29,17,28,29,15,11,13,1,28,27,28,30,23,17,2,1,29,11,20,11,11,11,16,11,11,10,1,1,13,9,9,21,2,14,7,22,5,,17
1,Los Angeles Lakers,2009,16,21,2,4,4,17,15,19,2,6,3,11,8,14,3,6,1,2,2,10,11,17,3,21,18,24,6,24,28,3,12,16,10,9,13,2,24,11,19,26,21,14,4,8,13,2,29,3,3,2,30,3,3,6,5,18,17,6,5,3,20,8,6,18,6,,8
2,Orlando Magic,2009,13,27,26,26,16,2,2,7,30,30,7,10,4,30,27,1,3,29,22,6,12,10,10,27,9,20,3,2,3,2,17,29,1,6,8,3,9,25,24,2,9,2,25,6,6,4,27,4,4,4,21,4,11,1,12,3,1,3,20,28,6,1,25,2,4,,18
3,Cleveland Cavaliers,2009,10,21,14,24,6,3,5,2,24,29,8,19,15,21,18,8,7,20,15,7,6,9,13,21,2,10,2,5,12,1,4,10,3,11,9,15,13,4,4,4,4,6,18,20,1,1,30,1,1,1,22,1,4,3,25,12,4,4,7,12,14,2,10,9,11,,4
4,Denver Nuggets,2009,10,27,10,22,5,16,17,13,14,18,5,2,1,20,15,12,15,6,3,2,25,26,6,27,11,18,4,27,27,15,8,13,4,26,24,24,26,7,16,19,24,27,5,2,18,5,24,8,8,8,24,8,7,8,6,1,15,7,24,15,1,5,8,23,25,,17
5,Boston Celtics,2009,7,7,9,28,2,19,21,1,13,20,2,12,11,18,21,7,9,4,7,17,28,28,11,7,1,9,1,8,13,5,1,9,2,20,22,17,6,2,2,3,12,13,9,7,3,3,28,2,2,3,19,2,6,2,18,8,19,2,29,8,7,3,9,3,23,,12
6,Houston Rockets,2009,7,14,23,21,22,7,6,10,27,24,17,17,21,5,22,2,4,22,26,24,16,2,17,14,13,17,5,4,4,11,19,27,5,2,2,1,11,9,6,8,13,23,28,16,7,8,23,6,6,6,23,6,14,4,19,20,5,13,21,17,16,4,28,4,2,,16
7,Dallas Mavericks,2009,5,14,7,6,9,12,8,25,12,16,6,21,26,2,14,5,5,8,17,9,5,4,9,14,19,19,12,9,6,21,21,22,8,15,10,29,14,18,17,7,14,4,26,22,15,9,22,10,10,10,25,11,5,17,16,27,10,10,4,16,23,10,26,8,10,,5
8,Atlanta Hawks,2009,4,29,24,25,11,8,7,16,25,26,11,15,9,28,20,21,23,23,14,20,7,5,19,29,15,16,11,11,16,7,13,15,16,4,6,14,23,14,23,13,7,9,19,17,10,12,19,13,13,12,12,10,10,12,24,9,6,9,6,19,13,11,14,24,5,,20
9,Chicago Bulls,2009,3,2,8,5,15,22,23,6,7,3,23,7,14,7,7,15,10,13,9,4,20,18,8,2,21,27,14,6,7,4,25,28,18,21,19,27,28,15,25,14,18,28,13,14,21,15,15,16,16,16,14,16,15,18,10,17,24,21,18,6,12,9,15,28,18,,2
10,Miami Heat,2009,3,1,13,15,16,11,9,22,17,19,12,27,24,23,26,22,28,18,5,5,3,16,18,1,8,8,13,25,18,28,6,7,9,19,20,18,17,21,21,10,6,5,6,26,12,14,17,14,14,14,7,14,20,11,22,24,8,16,3,24,26,16,4,19,21,,15
11,Philadelphia 76ers,2009,2,24,18,20,10,29,29,30,6,7,14,6,6,25,2,29,17,24,4,12,15,6,22,24,14,11,18,23,23,17,9,8,21,5,5,25,21,3,5,25,11,16,3,9,11,15,15,15,15,15,15,15,19,14,21,4,29,24,19,2,4,19,3,25,9,,23
12,Portland Trail Blazers,2009,2,11,15,23,8,9,12,4,19,22,10,20,16,17,1,27,12,19,25,13,8,12,14,11,7,2,17,7,5,18,9,11,13,7,4,30,2,1,1,5,3,3,24,12,4,5,24,5,5,5,28,5,1,13,30,14,12,8,8,1,17,14,12,6,13,,3
13,New Orleans Hornets,2009,1,24,28,27,14,13,14,17,26,25,13,25,29,3,28,16,26,28,15,26,4,11,26,24,3,3,7,20,24,8,2,1,15,8,7,19,4,13,8,11,2,1,23,19,5,10,21,12,12,13,20,13,12,9,28,22,11,14,9,25,18,12,13,7,16,,19
14,San Antonio Spurs,2009,1,4,12,19,7,6,10,3,21,23,9,30,30,19,30,4,18,12,30,27,1,1,23,4,12,15,9,3,1,24,18,24,6,1,1,13,1,24,11,1,8,8,30,30,2,5,24,7,7,7,29,7,13,5,26,30,7,5,2,30,30,7,30,1,1,,14
15,Utah Jazz,2009,1,7,6,16,3,27,26,26,3,4,4,3,3,13,11,19,19,1,1,21,22,23,7,7,17,12,20,12,14,12,15,12,22,24,25,11,18,8,9,9,27,21,2,1,18,11,20,9,9,9,27,9,8,10,9,2,27,11,22,5,2,18,2,20,26,,6
16,Detroit Pistons,2009,0,4,22,17,20,28,28,26,8,5,22,28,27,24,10,17,16,16,29,19,2,19,28,4,5,6,8,1,2,9,11,18,7,18,17,20,8,12,10,12,1,7,29,27,8,17,14,17,17,17,13,17,21,16,29,23,28,26,1,7,27,6,29,12,20,,1
1,Los Angeles Lakers,2010,16,12,9,7,18,13,10,24,11,13,14,17,17,12,4,4,2,15,11,16,6,4,12,12,14,23,5,11,25,1,13,16,12,2,2,7,17,20,18,21,10,9,18,12,9,3,28,5,5,6,13,5,11,4,14,19,12,15,5,7,18,6,19,9,2,,7
2,Boston Celtics,2010,15,17,21,30,4,16,16,17,19,27,1,15,10,21,30,25,29,2,2,15,21,22,19,17,3,4,9,4,5,4,5,6,11,21,25,5,9,8,9,6,13,15,2,8,5,9,19,9,9,9,27,10,15,5,22,7,11,5,27,28,6,9,2,13,25,,9
3,Orlando Magic,2010,10,26,24,27,7,1,1,3,30,30,2,10,7,29,25,1,5,25,27,5,14,7,6,26,8,16,1,12,11,23,8,20,1,3,3,10,3,14,8,2,6,1,27,4,4,2,29,1,1,1,30,1,4,3,18,4,1,2,18,25,7,1,26,1,4,,17
4,Phoenix Suns,2010,10,26,1,13,1,3,6,1,12,24,3,5,9,11,15,7,6,4,29,12,20,18,1,26,24,30,11,22,24,17,22,30,9,21,21,17,29,6,21,14,27,11,25,7,26,5,26,7,7,5,25,6,1,23,4,11,5,1,17,10,10,11,30,29,16,,16
5,Cleveland Cavaliers,2010,6,17,15,28,3,8,8,2,21,28,4,12,5,30,27,3,11,6,21,10,12,3,9,17,6,11,4,14,15,11,6,9,3,11,11,15,2,3,2,10,4,2,28,15,6,1,30,2,2,2,29,2,6,7,25,3,7,3,16,22,8,3,25,2,13,,2
6,Atlanta Hawks,2010,4,10,6,12,11,14,15,9,8,11,11,21,23,15,6,23,17,12,15,14,1,8,13,10,13,10,16,5,7,9,16,14,16,3,6,3,20,13,15,17,2,7,20,28,10,6,23,6,6,7,24,7,2,13,27,24,18,11,1,5,23,16,18,24,8,,18
7,San Antonio Spurs,2010,4,17,8,18,6,11,11,11,14,20,7,19,18,24,18,5,9,7,26,22,10,13,15,17,11,13,12,1,1,7,20,28,5,10,9,13,5,10,5,3,8,20,30,19,8,9,19,4,4,4,16,4,9,8,20,16,9,7,11,14,20,4,28,4,10,,10
8,Utah Jazz,2010,4,25,3,23,2,23,25,7,2,10,5,3,2,23,20,9,12,1,4,16,26,29,4,25,4,6,8,20,22,16,3,4,10,28,28,19,7,4,3,8,23,26,5,5,12,6,23,3,3,3,15,3,8,10,9,5,24,4,26,13,4,13,5,5,30,,6
9,Milwaukee Bucks,2010,3,1,20,2,29,6,5,12,26,17,29,30,29,17,8,11,7,14,19,20,5,25,23,1,2,3,10,2,2,7,7,8,8,26,27,23,1,27,24,4,10,21,4,20,7,14,17,14,14,14,28,14,23,2,19,30,6,25,4,18,30,8,4,3,29,,23
10,Dallas Mavericks,2010,2,5,11,14,12,10,13,5,15,15,15,16,25,1,24,10,17,3,10,6,3,1,11,5,18,19,15,16,18,10,17,19,15,7,5,16,20,23,25,9,7,5,10,21,15,4,27,12,12,12,19,12,10,12,17,26,14,13,3,26,15,15,12,15,6,,4
11,Denver Nuggets,2010,2,17,13,17,10,12,12,10,16,18,9,1,1,9,17,16,20,18,3,13,11,27,3,17,16,17,14,13,14,13,15,17,14,27,26,27,26,17,20,18,13,23,7,1,20,6,23,8,8,8,10,8,3,16,5,1,12,10,8,19,1,14,10,26,24,,13
12,Oklahoma City Thunder,2010,2,15,19,20,14,25,23,25,9,8,18,2,3,2,10,8,3,23,6,1,24,20,14,15,10,14,7,7,10,3,12,21,7,18,17,21,25,7,10,7,21,14,5,11,11,9,19,10,10,10,10,9,12,9,12,6,23,19,24,3,2,5,7,17,18,,12
13,Portland Trail Blazers,2010,2,10,27,26,15,18,19,13,23,23,17,9,12,3,14,28,26,21,25,24,2,19,21,10,7,2,18,5,8,6,10,5,20,6,8,4,4,1,1,5,1,4,23,9,3,9,19,11,11,11,21,11,7,15,30,10,17,14,2,4,5,17,15,7,14,,3
14,Chicago Bulls,2010,1,2,18,10,23,29,29,28,3,2,26,18,20,18,12,2,1,19,24,2,15,11,24,2,12,26,3,27,28,12,9,12,4,13,14,2,18,22,22,15,13,23,24,24,13,17,14,18,18,18,14,18,27,11,11,20,29,28,15,16,21,7,24,8,9,,1
15,Miami Heat,2010,1,5,26,25,17,17,17,19,22,21,20,21,21,19,19,13,15,28,12,4,4,16,25,5,1,5,2,14,20,5,1,3,2,19,20,11,8,15,11,1,3,6,12,25,2,13,18,13,13,13,26,13,19,6,28,14,16,16,9,20,17,2,8,6,22,,15
16,Charlotte Bobcats,2010,0,5,29,29,22,22,22,21,27,25,22,4,5,20,21,19,22,22,8,7,29,5,28,5,5,7,6,26,30,2,2,2,13,1,1,1,9,5,6,11,20,29,3,6,1,15,16,15,15,15,22,15,24,1,26,2,19,24,30,17,3,12,3,10,1,,22
1,Dallas Mavericks,2011,16,29,13,24,5,8,5,11,25,29,1,24,27,8,28,6,14,2,23,24,12,4,11,29,11,15,8,11,17,7,13,12,10,3,5,5,14,14,13,10,23,2,24,23,10,4,26,8,8,8,11,8,8,8,17,21,3,3,21,26,18,9,18,7,3,,4
2,Miami Heat,2011,14,20,19,29,2,11,15,7,18,27,2,3,3,12,27,2,9,26,26,9,11,14,8,20,5,13,2,18,21,9,1,7,4,10,17,2,9,2,2,5,9,1,28,5,6,3,28,2,2,1,29,1,3,5,20,3,10,4,19,19,3,3,26,4,11,,5
3,Chicago Bulls,2011,9,12,18,22,13,15,17,13,12,14,16,14,11,26,7,4,2,9,17,5,17,9,20,12,2,9,1,1,4,1,7,19,1,9,8,15,4,1,1,2,7,26,15,24,2,1,30,1,1,2,30,2,11,1,23,9,18,14,17,4,15,1,11,3,10,,1
4,Oklahoma City Thunder,2011,9,1,14,18,10,18,19,19,10,12,9,1,2,1,15,8,8,24,6,2,15,28,5,1,19,21,15,9,6,18,24,28,11,20,21,2,24,6,10,13,14,7,16,6,18,7,24,9,9,9,16,9,5,15,13,2,19,13,12,10,1,11,19,17,13,,13
5,Memphis Grizzlies,2011,7,6,3,8,6,30,30,27,1,1,15,17,15,23,6,24,16,21,1,7,12,17,12,6,9,7,14,27,23,24,9,5,13,12,12,11,18,4,8,14,20,30,1,8,13,11,19,10,10,10,9,10,16,9,15,18,30,20,9,6,20,18,1,21,14,,27
6,Atlanta Hawks,2011,6,28,23,25,12,17,16,18,21,23,12,29,29,6,29,20,28,12,29,28,9,1,26,28,14,10,18,5,8,4,15,13,19,4,3,25,6,16,10,16,3,5,29,29,9,13,18,17,17,16,23,18,21,13,27,29,15,12,18,29,27,12,29,11,5,,22
7,Boston Celtics,2011,5,20,20,30,1,26,28,12,7,20,3,20,22,11,30,13,29,4,3,27,22,15,23,20,1,4,3,3,2,5,2,9,2,14,16,9,8,4,4,1,9,10,5,22,1,6,25,4,4,6,28,6,18,2,22,10,27,7,28,30,8,2,3,9,19,,11
8,Los Angeles Lakers,2011,4,12,10,11,11,12,14,17,8,11,11,10,17,7,5,7,3,13,14,10,5,2,9,12,13,27,5,20,28,3,11,20,5,1,1,16,29,7,19,22,12,11,23,18,8,4,26,3,3,3,20,3,6,6,21,16,16,11,3,5,13,5,23,22,1,,8
9,New Orleans Hornets,2011,2,12,26,26,18,22,25,14,16,13,20,23,21,15,24,19,24,21,9,20,3,18,27,12,6,2,13,19,19,12,2,1,16,5,4,22,1,12,3,15,1,17,10,20,5,11,19,14,14,14,5,13,19,10,29,15,21,19,8,20,16,17,6,2,9,,26
10,Orlando Magic,2011,2,12,24,27,16,1,1,10,30,30,4,22,5,30,17,1,6,27,24,16,25,10,16,12,4,11,4,13,16,10,4,11,3,8,10,1,3,11,7,4,17,3,19,4,4,8,23,5,5,5,27,5,14,3,18,5,1,6,26,16,14,4,14,1,8,,9
11,Portland Trail Blazers,2011,2,18,25,19,24,13,12,21,24,21,23,18,28,3,4,30,27,16,5,21,4,5,24,18,7,1,20,15,13,23,5,2,22,6,6,19,12,3,6,3,5,4,4,11,7,10,21,12,12,12,8,12,10,14,30,27,12,22,6,3,17,22,2,24,16,,2
12,San Antonio Spurs,2011,2,20,5,16,4,4,7,1,22,26,7,11,14,14,23,9,12,8,14,18,6,3,6,20,20,24,12,7,3,22,25,29,8,2,2,18,16,17,17,9,6,12,26,17,14,2,29,6,6,4,12,4,2,11,14,13,6,1,7,21,12,10,27,10,2,,12
13,Denver Nuggets,2011,1,29,6,17,3,7,8,3,19,25,5,2,1,16,26,5,11,10,13,24,16,18,1,29,21,26,16,23,29,8,19,16,21,19,19,8,9,19,18,20,19,27,20,1,21,9,22,7,7,7,15,7,1,16,2,1,7,2,11,27,2,16,25,5,12,,16
14,Indiana Pacers,2011,1,20,22,9,25,10,9,16,26,17,25,6,10,5,13,3,5,28,20,6,27,22,13,20,17,23,7,12,11,17,16,24,6,23,23,4,23,25,25,7,21,25,17,7,17,19,12,19,19,19,25,19,23,12,6,12,9,23,24,17,8,7,22,15,22,,30
15,Philadelphia 76ers,2011,1,4,11,10,15,23,24,15,4,5,18,26,26,10,20,10,13,6,10,23,1,6,18,4,11,14,9,6,9,6,14,23,9,18,18,24,15,24,22,17,11,14,13,28,12,16,15,13,13,13,26,14,17,7,16,28,25,18,1,23,26,8,13,12,17,,25
16,New York Knicks,2011,0,20,8,6,19,2,2,8,28,28,8,4,6,2,22,18,20,15,8,4,10,21,2,20,27,25,26,16,14,25,27,26,23,24,24,13,26,28,28,8,13,9,6,16,28,15,16,15,15,15,24,15,7,22,3,11,2,8,5,24,4,23,9,26,23,,6
1,Miami Heat,2012,16,6,12,26,4,20,23,10,6,14,4,6,8,7,24,12,21,21,3,10,23,14,7,6,7,8,5,29,27,26,1,5,5,8,12,1,10,3,1,8,26,3,3,8,4,4,27,3,3,4,19,4,8,4,16,5,22,6,24,19,4,8,3,10,12,,4
2,Oklahoma City Thunder,2012,13,8,11,25,3,12,12,11,15,27,2,1,2,1,19,3,6,30,16,1,30,23,3,8,16,28,4,14,17,9,16,27,4,22,21,28,29,1,12,9,25,13,19,11,17,3,28,4,4,3,11,3,2,11,6,1,9,3,30,11,1,4,23,23,16,,13
3,Boston Celtics,2012,11,16,23,30,5,22,24,7,16,16,9,25,27,5,30,15,30,2,16,6,17,18,26,16,1,7,1,2,4,1,5,16,2,18,19,22,23,21,21,1,15,9,5,24,2,10,21,10,10,11,18,12,27,1,21,22,24,10,25,30,17,2,4,20,19,,11
4,San Antonio Spurs,2012,10,16,1,7,1,2,7,1,10,21,3,18,17,19,25,5,9,4,20,24,3,3,2,16,25,25,17,11,10,19,25,26,14,2,2,18,3,15,11,5,5,16,24,21,16,1,29,2,2,2,15,2,1,10,7,20,7,1,3,24,19,15,24,1,2,,12
5,Philadelphia 76ers,2012,7,23,9,5,15,24,25,8,4,3,25,30,30,21,22,6,7,10,14,13,1,4,22,23,3,11,3,3,2,6,10,21,3,6,6,14,5,29,25,7,1,12,21,30,3,16,15,5,5,5,26,5,20,3,24,30,26,19,1,25,30,3,20,4,8,,14
6,Indiana Pacers,2012,6,8,22,16,24,19,22,6,19,11,28,2,3,3,6,10,4,29,15,9,7,28,13,8,8,12,6,21,22,16,5,9,6,24,25,2,24,12,17,6,3,27,10,4,10,5,26,7,7,7,27,9,7,9,19,3,21,23,7,5,2,7,12,21,22,,29
7,Los Angeles Lakers,2012,5,3,14,22,8,23,19,26,8,13,6,8,9,16,9,1,2,7,30,11,20,1,15,3,22,30,9,23,25,14,22,28,7,1,1,6,19,7,9,23,28,8,30,10,15,6,24,13,13,13,5,13,10,13,20,9,18,13,20,6,8,6,30,6,1,,8
8,Los Angeles Clippers,2012,4,10,13,17,10,5,5,12,22,26,7,21,10,29,8,27,22,13,6,22,2,25,14,10,5,1,14,26,24,27,2,1,12,27,27,8,6,5,2,16,2,5,16,5,13,8,22,11,11,10,14,7,4,18,27,11,5,7,2,4,20,20,9,14,29,,7
9,Denver Nuggets,2012,3,6,2,15,2,16,13,24,3,17,1,3,1,25,17,7,8,1,9,16,25,17,1,6,27,26,24,30,30,30,12,11,20,7,7,20,14,6,5,27,20,30,6,1,29,11,20,9,9,9,13,6,3,20,2,2,12,2,18,13,3,26,7,9,4,,16
10,Memphis Grizzlies,2012,3,16,16,12,16,27,28,25,2,2,22,10,13,13,5,26,16,24,1,12,14,19,20,16,4,3,12,13,13,11,4,4,13,21,22,25,12,8,7,4,16,22,1,18,5,6,24,12,12,12,7,10,19,7,18,13,28,25,15,3,10,11,1,19,25,,20
11,Atlanta Hawks,2012,2,1,14,19,11,8,10,5,20,23,10,23,25,23,28,11,23,8,10,23,5,6,17,1,14,16,11,5,7,10,17,20,11,4,5,15,6,23,16,14,7,10,9,20,6,8,22,6,6,6,29,8,16,6,22,21,10,8,12,26,24,10,6,7,5,,23
12,Chicago Bulls,2012,2,16,10,8,12,17,18,4,12,8,18,27,23,27,1,2,1,5,24,3,6,2,18,16,6,19,2,1,1,3,14,30,1,3,3,4,17,1,3,2,6,20,26,28,1,1,29,1,1,1,28,1,5,2,28,24,20,14,8,1,26,1,28,8,3,,1
13,New York Knicks,2012,1,16,20,20,18,4,2,21,27,29,8,7,7,22,15,18,18,18,2,27,29,24,11,16,10,6,10,24,20,23,7,6,9,23,24,3,8,16,15,3,24,18,2,2,11,13,16,8,8,8,30,11,17,5,5,6,2,12,27,18,7,12,2,12,23,,5
14,Orlando Magic,2012,1,10,26,27,22,1,1,3,30,30,16,28,12,30,16,12,13,20,25,28,18,5,21,10,12,9,15,12,11,13,11,12,15,5,4,30,1,17,13,12,9,2,29,13,7,12,19,15,15,15,20,17,15,12,29,10,1,4,23,20,23,14,25,2,7,,9
15,Dallas Mavericks,2012,0,3,19,14,19,7,4,19,25,25,11,22,26,9,27,3,11,15,4,14,8,8,19,3,11,17,7,28,29,12,8,7,8,11,11,12,9,28,26,13,29,1,14,27,12,13,16,14,14,14,1,14,22,8,13,27,4,15,11,28,25,8,14,5,14,,3
16,Utah Jazz,2012,0,1,3,4,9,28,29,27,1,1,12,5,4,17,3,14,3,11,8,4,12,29,4,1,15,13,18,17,22,8,13,10,22,29,29,16,11,10,10,15,7,23,15,7,23,13,16,16,16,16,12,15,6,19,12,8,29,18,6,2,6,22,16,11,28,,6
1,Miami Heat,2013,16,4,5,30,1,3,6,2,19,28,1,12,10,16,28,16,30,7,3,10,4,8,5,4,6,10,6,21,24,11,4,5,10,8,7,27,20,5,5,5,17,1,5,10,5,1,30,2,2,2,30,2,2,9,23,8,5,1,13,26,6,9,5,24,13,,3
2,San Antonio Spurs,2013,15,4,2,19,2,7,7,4,6,22,3,15,21,3,29,4,21,1,6,9,17,1,4,4,19,26,8,5,5,12,25,30,4,5,4,22,18,16,18,8,23,16,12,23,11,3,28,4,4,4,11,3,7,3,6,21,9,2,19,29,13,5,13,3,3,,10
3,Indiana Pacers,2013,11,30,29,25,26,16,15,22,27,20,24,7,8,19,4,5,1,28,24,4,26,14,23,30,2,16,1,1,2,1,7,27,1,9,8,23,19,8,8,2,10,20,25,3,2,8,23,8,7,8,29,9,20,1,25,9,11,22,27,4,7,1,26,6,12,,25
4,Memphis Grizzlies,2013,8,16,23,18,21,30,30,24,3,1,25,16,16,10,3,24,11,24,4,12,5,17,27,16,1,1,3,3,6,2,2,4,3,7,10,12,3,4,1,4,6,19,6,13,1,5,25,6,6,7,13,6,17,2,30,17,30,28,8,2,16,3,2,9,21,,19
5,Golden State Warriors,2013,6,16,6,9,11,8,13,1,16,14,18,14,18,4,22,1,3,15,27,27,23,29,7,16,14,25,4,27,30,7,8,12,11,24,25,11,16,20,20,24,21,15,24,20,19,10,21,12,12,12,6,11,11,14,4,22,14,10,20,21,17,8,28,1,22,,5
6,New York Knicks,2013,6,26,19,16,18,1,1,5,30,30,11,21,20,13,19,25,26,30,12,30,1,15,11,26,5,2,19,25,25,15,3,1,23,18,16,16,1,19,11,3,1,3,11,19,7,7,24,7,8,6,27,7,3,18,26,20,1,8,1,19,21,23,4,4,24,,7
7,Chicago Bulls,2013,5,12,27,14,25,29,29,21,14,6,28,17,19,9,6,14,8,8,23,15,10,12,29,12,4,8,9,2,1,5,16,24,5,14,18,6,11,10,9,1,6,22,23,17,3,11,18,14,14,14,22,14,23,6,27,19,29,29,10,5,18,4,22,14,16,,1
8,Oklahoma City Thunder,2013,5,12,8,29,3,14,16,3,11,21,5,1,2,1,25,3,6,21,9,1,27,16,3,12,9,27,2,16,22,6,5,23,2,16,13,28,28,3,6,6,22,2,13,8,9,2,29,1,1,1,15,1,1,4,10,2,12,3,29,15,1,2,18,17,10,,11
9,Brooklyn Nets,2013,3,7,26,27,13,9,8,17,28,25,13,11,7,24,5,21,10,27,19,18,17,4,17,7,16,9,23,4,3,21,23,21,20,1,1,1,7,2,3,8,9,12,26,5,6,8,22,10,10,10,28,12,8,17,28,7,7,14,21,3,8,20,24,12,2,,16
10,Atlanta Hawks,2013,2,7,12,21,7,5,5,7,22,26,8,28,27,26,27,11,23,2,14,23,21,3,14,7,18,20,13,20,14,28,16,20,9,3,3,26,21,26,25,15,25,6,9,25,13,14,17,13,13,13,25,15,18,10,12,25,4,6,24,27,26,16,10,13,4,,26
11,Boston Celtics,2013,2,11,17,28,6,25,26,15,9,17,9,19,22,6,30,12,29,12,11,22,13,27,18,11,8,15,7,10,13,4,10,15,8,23,26,8,22,24,23,11,15,10,8,18,12,16,15,16,15,16,24,17,24,7,16,16,24,12,23,30,14,6,11,20,23,,12
12,Denver Nuggets,2013,2,3,1,2,4,20,19,25,1,3,4,6,3,28,1,10,2,3,2,3,27,21,1,3,22,29,11,29,29,20,13,19,12,15,21,2,30,6,10,25,18,28,3,4,23,4,27,5,5,5,10,5,5,11,2,5,22,7,11,1,10,13,8,27,7,,14
13,Houston Rockets,2013,2,21,9,10,9,2,2,9,29,29,6,3,4,17,17,7,7,6,9,24,30,18,2,21,26,28,17,28,27,22,21,22,16,17,12,29,5,12,11,18,28,26,14,9,28,11,18,9,9,9,12,8,6,16,1,4,2,5,30,17,4,19,19,2,9,,18
14,Los Angeles Clippers,2013,2,26,4,24,4,10,9,16,10,23,2,18,9,27,15,17,18,4,1,7,14,24,9,26,3,3,10,23,18,26,1,2,6,25,24,13,10,1,2,14,8,4,1,7,4,5,25,3,3,3,14,4,4,8,19,10,8,4,16,7,15,12,1,15,29,,6
